"Section","Item Name","Description","Veg/Non-Veg","Calories (kcal)","Price (USD)"
"Pizzas","Margherita","Classic pizza with fresh mozzarella, tomato sauce, and basil on a thin crust.","Veg","720","$12.50"
"","Pepperoni","A crowd-pleaser with generous layers of spicy pepperoni and mozzarella cheese.","Non-Veg","950","$14.00"
"","BBQ Chicken","Tangy BBQ sauce base, grilled chicken strips, red onions, and cilantro.","Non-Veg","980","$15.50"
"","Veggie Supreme","Loaded with bell peppers, onions, olives, mushrooms, and mozzarella cheese.","Veg","810","$13.50"
"","Hawaiian","A tropical delight featuring ham, pineapple chunks, and a cheesy base.","Non-Veg","890","$14.50"
"Beverages","Classic Lemonade","Freshly squeezed lemon juice, sweetened to perfection. Served chilled.","Veg","150","$4.00"
"","Iced Mocha","A rich blend of espresso, chocolate syrup, and cold milk, topped with whipped cream.","Veg","350","$5.50"
"","Green Smoothie","A healthy mix of spinach, banana, mango, and almond milk.","Veg","280","$6.00"
"","Mango Lassi","Traditional Indian yogurt-based drink blended with sweet mango pulp.","Veg","320","$5.00"
"","Sparkling Water","Chilled carbonated mineral water with a slice of lime.","Veg","0","$3.00"
"Sandwiches","Classic Club","Triple-decker sandwich with turkey, bacon, lettuce, tomato, and mayonnaise.","Non-Veg","850","$13.00"
"","Caprese Panini","Toasted panini with fresh mozzarella, tomatoes, basil pesto, and balsamic glaze.","Veg","650","$11.50"
"","Philly Cheesesteak","Thinly sliced steak, melted provolone cheese, and grilled onions in a hoagie roll.","Non-Veg","990","$14.50"
"","Spicy Tofu Banh Mi","Vietnamese-style sandwich with marinated spicy tofu, pickled carrots, and cilantro.","Veg","580","$12.00"
"","Tuna Melt","Classic sandwich with tuna salad and melted cheddar cheese on toasted rye bread.","Non-Veg","750","$12.50"
"Hotdogs","The Classic","All-beef hotdog in a soft bun, topped with ketchup and mustard.","Non-Veg","450","$8.00"
"","Chicago Dog","All-beef hotdog with yellow mustard, chopped onions, relish, tomato slices, and a pickle.","Non-Veg","550","$9.50"
"","Chili Cheese Dog","A hearty hotdog smothered in beef chili and topped with melted cheddar cheese.","Non-Veg","680","$10.50"
"","Veggie Dog","Plant-based sausage in a whole wheat bun with your choice of toppings.","Veg","400","$9.00"
"","Sonoran Dog","Bacon-wrapped hotdog topped with pinto beans, onions, tomatoes, and mayonnaise.","Non-Veg","620","$11.00"
"Healthy Meals","Quinoa Salad","A vibrant salad with quinoa, chickpeas, cucumber, tomatoes, and a lemon-tahini dressing.","Veg","450","$12.50"
"","Grilled Salmon","Grilled salmon fillet served with a side of steamed asparagus and brown rice.","Non-Veg","550","$18.00"
"","Chicken & Veggie Skewers","Marinated chicken and mixed vegetable skewers, grilled and served with a yogurt dip.","Non-Veg","480","$15.00"
"","Lentil Soup","A hearty and nutritious soup made with red lentils, carrots, celery, and spices.","Veg","350","$9.00"
"","Buddha Bowl","A colorful bowl of roasted sweet potatoes, black beans, avocado, and mixed greens.","Veg","520","$13.50"
